date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:43:16	3161/3161	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2027%20Oct%202022%2013:14:04%20GMT	https://www.lookgreatnaked.com/robots.txt		(from )
18:43:16	6330/6330	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2013:14:04%20GMT	https://www.lookgreatnaked.com/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web29/Site29/www.lookgreatnaked.com/index.html	(from )
18:43:17	11190/11190	---M--	200	added ('OK')	text/css	date:Sun,%2002%20Feb%202014%2022:07:17%20GMT	https://www.lookgreatnaked.com/css/styles.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web29/Site29/www.lookgreatnaked.com/css/styles.css	(from https://www.lookgreatnaked.com/)
18:43:19	1150/1150	---M--	200	added ('OK')	image/x-icon	date:Sun,%2030%20Jun%202013%2013:56:18%20GMT	http://www.lookgreatnaked.com/favicon.ico	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web29/Site29/www.lookgreatnaked.com/favicon.ico	(from https://www.lookgreatnaked.com/)
18:43:20	15960/15960	---M--	200	added ('OK')	application/javascript	date:Sun,%2030%20Jun%202013%2013:56:23%20GMT	https://www.lookgreatnaked.com/flowplayer/example/flowplayer-3.1.4.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web29/Site29/www.lookgreatnaked.com/flowplayer/example/flowplayer-3.1.4.min.js	(from https://www.lookgreatnaked.com/)
18:43:21	6330/6330	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2013:14:10%20GMT	https://www.lookgreatnaked.com/index.php	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web29/Site29/www.lookgreatnaked.com/index-2.html	(from https://www.lookgreatnaked.com/)
18:43:23	22785/22785	---M--	200	added ('OK')	image/jpeg	date:Sun,%2030%20Jun%202013%2013:57:43%20GMT	https://www.lookgreatnaked.com/images/layout/logo.jpg	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web29/Site29/www.lookgreatnaked.com/images/layout/logo.jpg	(from https://www.lookgreatnaked.com/)
18:43:24	10385/10385	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2013:14:13%20GMT	http://www.lookgreatnaked.com/newsletter.php	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web29/Site29/www.lookgreatnaked.com/newsletter.html	(from https://www.lookgreatnaked.com/)
18:43:25	13148/13148	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2013:14:14%20GMT	http://www.lookgreatnaked.com/about_brad.php	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web29/Site29/www.lookgreatnaked.com/about_brad.html	(from https://www.lookgreatnaked.com/)
18:43:26	17481/17481	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2013:14:15%20GMT	http://www.lookgreatnaked.com/fitness_articles_by_brad_schoenfeld.php	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web29/Site29/www.lookgreatnaked.com/fitness_articles_by_brad_schoenfeld.html	(from https://www.lookgreatnaked.com/)
18:43:27	9668/9668	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2013:14:16%20GMT	http://www.lookgreatnaked.com/products.php	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web29/Site29/www.lookgreatnaked.com/products.html	(from https://www.lookgreatnaked.com/)
18:43:28	7293/7293	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2013:14:17%20GMT	http://www.lookgreatnaked.com/media_and_press.php	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web29/Site29/www.lookgreatnaked.com/media_and_press.html	(from https://www.lookgreatnaked.com/)
18:43:29	87130/87130	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2013:14:16%20GMT	http://www.lookgreatnaked.com/blog/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web29/Site29/www.lookgreatnaked.com/blog/index.html	(from https://www.lookgreatnaked.com/)
18:43:29	14653/14653	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2013:14:18%20GMT	http://www.lookgreatnaked.com/testimonials.php	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web29/Site29/www.lookgreatnaked.com/testimonials.html	(from https://www.lookgreatnaked.com/)
